Age,Income,SpendingScore,ZipCode,Country,IDNumber
65,25000,10.0,40004,Canada,123764
50,65000,70.0,20002,UK,119447
25,65000,10.0,20002,France,128830
45,25000,100.0,10001,USA,120207
40,75000,30.0,30003,Germany,121572
70,65000,50.0,50005,USA,132599
70,65000,30.0,50005,Canada,121810
40,95000,60.0,40004,UK,111796
70,25000,70.0,10001,Germany,125152
50,45000,30.0,30003,Canada,120433
-1,35000,80.0,30003,France,105129
-1,65000,20.0,20002,Canada,135954
-1,25000,20.0,20002,UK,122548
-1,85000,70.0,10001,UK,115650
-1,75000,10.0,20002,USA,133947
-1,35000,70.0,30003,Germany,127759
-1,45000,10.0,50005,USA,100622
-1,75000,80.0,30003,Canada,132464
-1,25000,60.0,40004,France,119926
-1,45000,30.0,10001,Germany,120456
-1,85000,100.0,40004,Germany,131202
55,25000,100.0,30003,Canada,118417
35,25000,20.0,10001,Germany,134898
70,95000,40.0,40004,France,104433
25,95000,30.0,50005,France,138532
45,25000,10.0,30003,USA,118319
65,75000,40.0,30003,France,109256
70,45000,80.0,30003,USA,103268
70,85000,10.0,10001,France,131044
55,45000,20.0,20002,Canada,118238
25,unknown,50.0,10001,Canada,125992
40,unknown,50.0,10001,France,128012
25,unknown,100.0,40004,UK,132432
55,unknown,100.0,40004,France,123132
40,unknown,40.0,20002,Canada,110504
45,unknown,70.0,10001,France,114522
50,unknown,50.0,30003,UK,130269
70,unknown,40.0,30003,France,111129
55,unknown,60.0,40004,Germany,129491
30,unknown,50.0,50005,USA,136717
40,unknown,90.0,30003,Canada,123550
30,65000,70.0,50005,UK,132958
45,35000,60.0,20002,Canada,126561
45,25000,70.0,50005,France,110581
40,65000,90.0,30003,Canada,131573
65,55000,90.0,50005,Germany,102371
65,65000,70.0,50005,Germany,104332
50,85000,30.0,10001,France,104234
55,85000,80.0,30003,Germany,127664
70,55000,80.0,20002,USA,126788
60,25000,,50005,Canada,108187
50,85000,,20002,UK,123245
30,55000,,10001,UK,131192
60,75000,,30003,Canada,134614
70,45000,,40004,Canada,101351
55,85000,,10001,USA,135746
35,65000,,10001,USA,128224
50,95000,,30003,USA,103150
30,65000,,40004,Canada,119204
70,75000,,20002,France,137789
55,75000,,20002,USA,111240
45,75000,40.0,50005,France,125669
35,25000,30.0,40004,France,110146
70,75000,20.0,20002,USA,139180
55,25000,20.0,40004,UK,126967
45,75000,100.0,50005,France,110916
40,35000,30.0,50005,UK,118794
50,25000,30.0,10001,UK,132266
35,25000,60.0,20002,USA,107473
35,55000,90.0,10001,USA,101007
45,35000,30.0,30003,UK,120308
25,65000,50.0,20002,UK,127263
35,25000,100.0,10001,UK,137599
30,55000,60.0,40004,Canada,112442
70,25000,40.0,40004,Germany,130331
65,35000,50.0,30003,USA,121715
65,95000,20.0,10001,USA,111484
40,75000,70.0,10001,USA,100248
35,95000,70.0,50005,USA,114090
30,25000,70.0,10001,France,130282
25,45000,80.0,50005,UK,105567
45,65000,60.0,50005,Canada,129241
65,95000,70.0,50005,USA,119915
35,85000,40.0,10001,France,127777
50,65000,90.0,40004,UK,109096
50,55000,90.0,40004,Germany,126623
30,75000,20.0,50005,Canada,121921
35,55000,10.0,10001,UK,137848
40,85000,60.0,10001,UK,104002
35,35000,100.0,30003,Germany,136045
60,25000,60.0,40004,Canada,108655
30,85000,50.0,50005,UK,108923
65,45000,50.0,20002,Canada,109038
30,75000,20.0,10001,UK,128645
70,55000,60.0,40004,France,122212
25,95000,60.0,40004,Germany,103563
65,95000,30.0,30003,UK,134099
35,85000,10.0,50005,UK,119813
25,85000,70.0,40004,France,112291
70,35000,90.0,20002,France,118867
70,55000,100.0,20002,UK,102329
45,95000,60.0,30003,UK,106592
45,95000,20.0,20002,Germany,127259
70,45000,30.0,50005,Germany,123919
55,35000,10.0,10001,UK,131695
40,45000,90.0,50005,Canada,132996
60,95000,40.0,10001,Canada,118325
40,85000,100.0,50005,Canada,124828
55,35000,40.0,10001,Germany,106510
40,95000,80.0,10001,USA,112003
60,85000,40.0,50005,Canada,106522
65,25000,80.0,10001,Canada,101426
35,95000,100.0,40004,France,121126
60,55000,70.0,20002,France,103182
35,45000,70.0,30003,Germany,128628
30,55000,90.0,50005,USA,101018
50,35000,50.0,40004,Canada,113816
45,25000,80.0,50005,Canada,127106
40,75000,100.0,10001,UK,106300
40,65000,90.0,30003,USA,126421
50,75000,100.0,40004,Germany,104519
35,95000,60.0,50005,Canada,135756
65,45000,40.0,40004,Germany,110120
25,35000,10.0,50005,UK,103312
25,65000,100.0,20002,Germany,114327
70,25000,70.0,50005,USA,114983
60,95000,50.0,40004,USA,123374
50,35000,60.0,10001,Germany,137943
30,55000,70.0,20002,UK,133286
70,45000,70.0,50005,Canada,115679
65,65000,90.0,40004,Canada,126259
45,85000,100.0,40004,USA,136729
35,25000,70.0,20002,Canada,137550
55,25000,100.0,10001,Canada,109280
65,55000,80.0,50005,USA,117094
50,95000,10.0,50005,Germany,109570
50,85000,40.0,50005,Germany,101685
35,95000,50.0,30003,Germany,130624
65,95000,80.0,20002,Germany,132222
30,55000,40.0,40004,France,126596
25,25000,100.0,50005,Canada,101955
35,35000,20.0,10001,USA,136700
35,35000,70.0,20002,UK,100049
45,55000,30.0,30003,France,115165
40,65000,40.0,10001,USA,137772
60,85000,70.0,20002,Canada,118174
65,75000,100.0,10001,UK,124767
50,45000,100.0,40004,UK,124070
30,65000,100.0,40004,Germany,112756
55,45000,100.0,10001,Germany,122641
70,65000,80.0,50005,UK,106051
70,65000,70.0,30003,France,137900
65,95000,30.0,50005,USA,114485
55,35000,20.0,20002,UK,108407
35,65000,10.0,40004,Germany,132531
50,85000,40.0,30003,USA,103252
65,25000,10.0,50005,USA,107315
25,85000,90.0,40004,Canada,136550
40,45000,60.0,30003,Germany,111038
55,65000,50.0,20002,Germany,107017
55,55000,20.0,20002,Canada,123304
55,55000,70.0,20002,UK,112920
40,75000,30.0,30003,USA,113302
55,25000,70.0,50005,USA,130023
55,45000,40.0,50005,UK,118475
45,25000,70.0,40004,France,128146
50,25000,30.0,20002,USA,126695
55,55000,90.0,10001,USA,126593
25,55000,10.0,10001,Canada,108514
50,75000,60.0,50005,UK,130808
35,75000,90.0,40004,France,105726
65,75000,20.0,30003,UK,114023
60,45000,80.0,40004,USA,102786
35,45000,90.0,20002,USA,139313
60,35000,60.0,20002,Germany,107572
30,75000,10.0,30003,Canada,133456
45,95000,40.0,50005,France,136612
25,45000,70.0,20002,France,134798
70,75000,70.0,50005,Germany,118302
30,85000,10.0,50005,France,108906
50,45000,40.0,10001,UK,100305
35,35000,30.0,30003,USA,137619
60,75000,60.0,50005,Germany,130126
45,85000,10.0,40004,USA,111632
65,35000,30.0,30003,USA,106921
